,mag,effectif,Pays_Cotier
1127.0,1.8,,
1128.0,0.92,,
1129.0,1.8,,
1131.0,1.9,,
1132.0,1.32,,
1134.0,0.8,,
1135.0,0.59,,
1144.0,1.6,,
1145.0,1.1,,
1149.0,1.4,,
1152.0,1.34,,
1154.0,2.49,,
1157.0,1.3,,
1161.0,2.2,,
1163.0,1.8,,
1164.0,4.3,,
1165.0,4.0,,
1166.0,1.2,,
1167.0,0.6,,
1168.0,2.2,,
1169.0,4.1,,
1170.0,0.4,,
1171.0,1.7,,
1172.0,1.8,,
1173.0,4.2,,
1174.0,1.7,,
1176.0,1.2,,
1177.0,4.5,,
1179.0,0.3,,
1180.0,1.0,,
1181.0,4.4,,
1182.0,1.3,,
1183.0,1.02,,
1184.0,0.7,,
1185.0,1.4,,
1186.0,1.4,,
1187.0,0.74,,
1188.0,4.5,,
1189.0,4.8,,
1190.0,1.3,,
1191.0,0.4,,
1193.0,4.3,,
1196.0,0.8,,
1197.0,2.3,,
1198.0,1.6,,
1199.0,1.74,,
1200.0,1.0,,
1201.0,0.71,,
1202.0,2.0,,
1203.0,0.16,,
1204.0,3.3,,
1205.0,4.5,,
1206.0,0.74,,
1207.0,0.8,,
1208.0,5.1,,
1210.0,1.14,,
1211.0,0.6,,
1213.0,0.34,,
1215.0,0.45,,
1216.0,4.7,,
1217.0,1.7,,
1218.0,1.4,,
1219.0,1.26,,
1220.0,1.2,,
1221.0,4.2,,
1222.0,2.6,,
1223.0,1.56,,
1224.0,0.13,,
1225.0,2.4,,
1226.0,0.6,,
1227.0,1.9,,
1228.0,1.6,,
1230.0,0.8,,
1231.0,0.7,,
1232.0,0.99,,
1233.0,1.1,,
1234.0,4.4,,
1237.0,1.0,,
1238.0,0.9,,
1239.0,1.3,,
1240.0,4.2,,
1241.0,2.3,,
1243.0,4.4,,
1244.0,2.3,,
1245.0,1.8,,
1246.0,1.4,,
1247.0,2.8,,
1248.0,4.4,,
1249.0,1.7,,
1250.0,2.27,,
1252.0,3.0,,
1253.0,0.6,,
1254.0,0.4,,
1255.0,1.64,,
1257.0,4.3,,
1258.0,1.11,,
1259.0,4.3,,
1261.0,1.1,,
1262.0,0.54,,
1263.0,0.8,,
1264.0,1.2,,
1266.0,4.4,,
1267.0,1.8,,
1268.0,1.6,,
1269.0,4.6,,
1270.0,1.5,,
1271.0,0.9,,
1272.0,2.8,,
1274.0,0.5,,
1275.0,1.4,,
1276.0,2.3,,
1277.0,0.8,,
1278.0,0.2,,
1279.0,2.5,,
1280.0,2.6,,
1281.0,0.61,,
1282.0,0.5,,
1283.0,1.8,,
1284.0,2.2,,
1285.0,1.6,,
1287.0,1.41,,
1288.0,0.9,,
1289.0,0.8,,
1290.0,0.0,,
1291.0,1.0,,
1293.0,0.4,,
1294.0,4.8,,
1295.0,4.7,,
1296.0,0.5,,
1297.0,2.1,,
1298.0,2.8,,
1299.0,4.0,,
1300.0,0.7,,
1301.0,1.1,,
1302.0,4.0,,
1304.0,0.3,,
1305.0,2.3,,
1306.0,1.4,,
1307.0,1.8,,
1309.0,1.6,,
1310.0,4.1,,
1311.0,4.5,,
1313.0,1.8,,
1314.0,4.0,,
1315.0,0.9,,
1316.0,2.3,,
1318.0,2.7,,
1319.0,1.6,,
1320.0,1.11,,
1322.0,0.9,,
1323.0,1.47,,
1324.0,0.81,,
1326.0,1.2,,
1327.0,4.4,,
1328.0,1.1,,
1329.0,0.9,,
1330.0,2.9,,
1333.0,4.1,,
1334.0,1.8,,
1335.0,1.7,,
1336.0,1.4,,
1337.0,4.7,,
1338.0,1.6,,
1339.0,0.86,,
1340.0,0.7,,
1341.0,1.1,,
1343.0,1.1,,
1345.0,1.4,,
1346.0,0.4,,
1347.0,0.7,,
1348.0,3.39,,
1349.0,0.7,,
1350.0,1.5,,
1353.0,1.7,,
1354.0,0.7,,
1355.0,1.5,,
1356.0,4.2,,
1357.0,2.3,,
1358.0,4.4,,
1359.0,1.1,,
1360.0,2.0,,
1361.0,0.7,,
1362.0,2.4,,
1363.0,1.1,,
1364.0,4.5,,
1365.0,0.8,,
1366.0,1.5,,
1367.0,2.2,,
1368.0,1.2,,
1369.0,1.2,,
1370.0,1.09,,
1371.0,1.1,,
1373.0,1.2,,
1374.0,0.5,,
1375.0,0.3,,
1376.0,1.56,,
1377.0,0.43,,
1378.0,4.7,,
1379.0,4.4,,
1380.0,1.05,,
1381.0,3.4,,
1382.0,4.6,,
1383.0,3.2,,
1384.0,4.5,,
1385.0,2.3,,
1387.0,4.7,,
1388.0,2.5,,
1390.0,4.3,,
1392.0,0.9,,
1393.0,0.9,,
1394.0,2.3,,
1395.0,1.2,,
1396.0,0.33,,
1397.0,1.7,,
1398.0,4.5,,
1399.0,3.2,,
1400.0,0.5,,
