,mag
3692,0.7
3693,0.6
3695,1.7
3701,0.7
3702,1.3
3705,0.5
3709,0.6
3720,0.2
3722,0.6
3724,0.2
3726,0.2
3735,1.06
3736,0.53
3738,0.9
3742,1.2
3743,0.9
3747,0.9
3750,0.9
3755,0.72
3756,1.09
3758,1.47
3760,1.2
3767,0.61
3772,0.9
3776,0.9
3778,1.26
3784,1.0
3785,1.24
3787,0.8
3788,1.4
3795,1.0
3798,0.3
3806,0.4
3808,0.62
3809,0.5
3814,0.54
3817,0.24
3819,0.58
3831,0.89
3832,0.77
3835,1.3
3838,0.25
3839,1.3
3840,1.1
3841,0.5
3844,1.37
3845,0.83
3850,1.9
3852,0.67
3855,1.7
3859,0.8
3860,0.6
3861,0.4
3867,0.9
3869,0.9
3870,0.6
3871,0.4
3874,0.7
3875,0.8
3876,0.6
3880,0.2
3881,0.31
3884,1.21
3885,0.9
3886,0.4
3887,0.9
3896,1.59
3903,0.8
3907,1.36
3909,2.4
3913,0.4
3915,1.51
3920,0.5
3921,1.6
3923,1.21
3927,0.2
3930,0.5
3942,0.8
3943,0.2
3944,0.6
3945,0.83
3946,1.0
3949,0.8
3950,1.5
3951,1.53
3954,1.57
3955,1.2
3960,0.6
3965,1.1
3967,0.3
3971,0.95
3974,1.04
3975,1.2
3977,0.26
3979,1.17
3982,0.4
3985,0.8
3986,0.7
3987,1.9
3991,0.54
3992,2.2
3993,0.6
3994,0.7
4006,3.0
4007,0.3
4010,0.5
4014,1.5
4017,1.01
4022,0.4
4023,1.67
4026,0.83
4029,0.9
4030,1.8
4031,2.0
4038,0.3
4043,0.8
4052,2.1
4055,0.63
4056,0.8
4060,0.88
4062,1.4
4066,1.2
4068,2.1
4069,1.7
4074,2.02
4076,0.5
4078,0.5
4080,1.9
4081,1.0
4082,0.2
4083,0.62
4085,1.1
4086,1.7
4092,0.25
4093,0.3
4094,1.11
4097,0.5
4104,0.91
4105,0.6
4106,1.9
4108,2.0
4109,0.96
4110,0.7
4111,1.9
4112,1.1
4113,0.3
4114,0.3
4115,0.6
4116,1.1
4117,0.3
4118,0.6
4119,1.0
4122,0.2
4129,0.7
4135,1.2
4136,1.66
4140,0.3
4142,0.28
4143,1.3
4145,0.2
4147,2.44
4151,0.6
4152,0.4
4153,0.7
4154,0.3
4155,1.6
4164,1.6
4166,2.98
4168,0.5
4171,2.8
4175,0.4
4177,0.6
4178,0.9
4179,1.8
4180,1.0
4181,0.6
4182,1.2
4189,0.6
4192,0.5
4196,1.3
4197,1.2
4200,0.2
4205,1.5
4206,1.24
4207,2.1
4211,0.1
4212,0.9
4216,1.8
4218,0.9
4223,0.2
4228,0.9
4231,0.4
4233,1.4
4234,0.8
4235,0.4
4237,2.1
4244,0.2
4246,0.4
4247,0.55
4251,0.96
4253,0.6
4255,0.2
4257,0.8
4258,2.0
4259,0.98
4260,0.44
4263,1.43
4265,1.45
4267,1.9
4269,0.87
4275,2.1
4277,1.21
4281,1.2
4283,0.7
4286,0.46
4291,0.7
4294,0.68
4295,0.6
4296,1.7
4309,1.62
4310,1.1
4311,1.65
4312,1.1
4313,0.5
4314,1.3
4322,1.55
4323,0.6
4327,0.4
4329,1.75
4332,0.9
4334,0.9
4336,1.6
4337,2.2
4340,0.06
4342,0.9
4346,1.2
4347,0.9
4352,1.4
4354,0.6
4355,1.99
4356,1.65
4359,2.5
4372,0.9
4374,0.49
4376,1.2
4381,0.73
4382,1.4
4383,0.6
4389,0.9
4390,1.22
4391,1.2
4396,0.45
4403,0.41
4409,0.7
4411,0.6
4413,1.3
4415,1.2
4418,0.4
4420,0.6
4421,1.8
4423,0.2
4424,1.0
4425,0.93
4427,0.3
4439,0.29
4440,0.55
4448,0.5
4452,1.2
4453,1.7
4457,0.72
4466,1.9
4470,0.26
4472,0.22
4478,0.38
4480,0.43
4481,0.46
4482,1.3
4484,0.9
4486,1.06
4490,1.0
4492,0.5
4501,1.0
4506,1.25
4516,0.85
4517,1.0
4520,0.4
4523,0.93
4526,0.57
4535,0.8
4536,1.0
4540,0.3
4543,1.28
4544,0.59
4546,1.2
4547,2.1
4553,0.78
4557,0.8
4558,0.5
4560,1.39
4561,1.22
4563,0.93
4566,1.7
4570,0.7
4572,0.09
4573,1.77
4575,0.59
4577,0.69
4578,0.4
4579,1.62
4580,2.0
4584,1.43
4585,1.5
4590,1.11
4593,1.01
4595,0.92
4600,0.79
4602,0.66
4603,1.59
4604,1.0
4606,1.2
4608,1.05
4611,1.0
4612,1.37
4613,2.0
4615,1.25
